datetime,tempmax,tempmin,temp_avg,humidity,rainfall,wind_speed,pressure,cloudcover,dew,year,month,day,day_of_the_year,week_of_the_year,day_of_week,Season,rainfall_7day_avg,temp_avg_7day,humidity_7day_avg,rainfall_cumsum_30day,rainfall_lag_1,rainfall_lag_7,temp_avg_lag_1,temp_range,gdd_base10,gdd_cumsum,is_rainy_day,is_heavy_rain,is_hot_day,humidity_high,humidity_very_high,cloud_cover_high,humid_and_cloudy,rain_likely,has_rain,has_partly_cloudy,has_overcast,has_clear
2014-01-18,33.4,24.0,27.8,80.8,6.0,13.7,1011.6,80.5,23.9,2014,1,18,18,3,5,dry_season,1.8714285714285714,27.742857142857144,79.3,17.6,1.9,0.0,27.7,9.399999999999999,18.7,324.75000000000006,1,0,1,1,0,1,1,0,1,1,0,0
2014-01-19,34.4,24.2,28.2,78.4,0.3,13.7,1011.5,80.4,23.5,2014,1,19,19,3,6,dry_season,1.7857142857142858,27.8,79.44285714285715,17.9,6.0,0.9,27.8,10.2,19.299999999999997,344.05000000000007,0,0,1,1,0,1,1,0,1,1,0,0
2014-01-20,34.5,24.5,28.6,79.4,0.9,15.3,1011.2,79.7,24.2,2014,1,20,20,4,0,dry_season,1.9142857142857141,27.957142857142856,80.01428571428572,18.8,0.3,0.0,28.2,10.0,19.5,363.55000000000007,0,0,1,1,0,1,1,0,1,1,0,0
2014-01-21,34.0,23.8,28.3,80.9,2.3,16.6,1010.0,67.0,24.3,2014,1,21,21,4,1,dry_season,2.242857142857143,28.0,80.92857142857143,21.1,0.9,0.0,28.6,10.2,18.9,382.45000000000005,1,0,1,1,0,0,0,0,1,1,0,0
2014-01-22,35.1,24.4,28.2,80.2,1.2,18.4,1009.6,56.0,24.1,2014,1,22,22,4,2,dry_season,2.314285714285714,28.071428571428573,80.97142857142858,22.3,2.3,0.7,28.3,10.700000000000003,19.75,402.20000000000005,1,0,1,1,0,0,0,0,1,1,0,0
2014-01-23,36.0,22.0,27.9,78.0,3.8,18.4,1009.4,53.3,23.1,2014,1,23,23,4,3,dry_season,2.3428571428571425,28.099999999999998,80.31428571428572,26.1,1.2,3.6,28.2,14.0,19.0,421.20000000000005,1,0,1,1,0,0,0,0,1,1,0,0
2014-01-24,34.8,22.0,27.7,80.4,2.2,22.9,1008.7,54.2,23.7,2014,1,24,24,4,4,dry_season,2.3857142857142857,28.099999999999998,79.72857142857143,28.3,3.8,1.9,27.9,12.799999999999997,18.4,439.6,1,0,1,1,0,0,0,0,1,1,0,0
2014-01-25,33.2,24.1,27.6,82.1,0.8,18.4,1009.0,72.5,24.0,2014,1,25,25,4,5,dry_season,1.6428571428571428,28.071428571428573,79.91428571428573,29.1,2.2,6.0,27.7,9.100000000000001,18.650000000000002,458.25,0,0,1,1,0,1,1,0,1,1,0,0
2014-01-26,34.5,22.0,27.9,78.8,1.1,18.4,1010.0,58.1,23.0,2014,1,26,26,4,6,dry_season,1.757142857142857,28.02857142857143,79.97142857142856,30.2,0.8,0.3,27.6,12.5,18.25,476.5,1,0,1,1,0,0,0,0,1,1,0,0
2014-01-27,34.0,24.1,27.6,82.7,3.4,13.5,1009.5,76.7,24.1,2014,1,27,27,5,0,dry_season,2.1142857142857143,27.88571428571429,80.44285714285715,33.6,1.1,0.9,27.9,9.899999999999999,19.05,495.55,1,0,1,1,0,1,1,0,1,1,0,0
2014-01-28,35.0,22.9,27.1,83.8,1.7,20.5,1008.1,78.7,23.8,2014,1,28,28,5,1,dry_season,2.0285714285714285,27.714285714285715,80.85714285714286,35.3,3.4,2.3,27.6,12.100000000000001,18.95,514.5,1,0,1,1,0,1,1,0,1,1,0,0
2014-01-29,35.1,22.0,26.3,85.1,4.3,33.5,1008.6,79.2,23.3,2014,1,29,29,5,2,dry_season,2.4714285714285715,27.442857142857147,81.55714285714285,39.6,1.7,1.2,27.1,13.100000000000001,18.55,533.05,1,0,1,1,1,1,1,0,1,1,0,0
2014-01-30,32.5,23.0,27.3,83.5,1.6,14.3,1009.0,88.9,24.1,2014,1,30,30,5,3,dry_season,2.157142857142857,27.357142857142858,82.34285714285714,41.2,4.3,3.8,26.3,9.5,17.75,550.8,1,0,0,1,0,1,1,0,1,1,0,0
2014-01-31,31.0,23.7,26.8,86.1,4.3,19.2,1010.1,90.1,24.2,2014,1,31,31,5,4,dry_season,2.457142857142857,27.22857142857143,83.15714285714284,43.5,1.6,2.2,27.3,7.300000000000001,17.35,568.15,1,0,0,1,1,1,1,0,1,0,1,0
2014-02-01,32.0,24.0,27.0,87.5,17.9,15.3,1010.2,90.1,24.6,2014,2,1,32,5,5,dry_season,4.8999999999999995,27.142857142857142,83.92857142857143,61.4,4.3,0.8,26.8,8.0,18.0,586.15,1,1,0,1,1,1,1,0,1,0,1,0
2014-02-02,30.0,24.0,26.4,86.0,2.3,18.4,1009.3,83.1,23.7,2014,2,2,33,5,6,dry_season,5.07142857142857,26.928571428571427,84.95714285714287,63.699999999999996,17.9,1.1,27.0,6.0,17.0,603.15,1,0,0,1,1,1,1,1,1,1,0,0
2014-02-03,34.0,22.0,27.3,78.4,6.5,35.3,1009.0,86.1,22.3,2014,2,3,34,6,0,dry_season,5.514285714285713,26.885714285714283,84.34285714285714,70.2,2.3,3.4,26.4,12.0,18.0,621.15,1,0,1,1,0,1,1,0,1,1,0,0
2014-02-04,34.0,23.3,27.8,79.5,4.8,18.4,1009.0,69.7,23.5,2014,2,4,35,6,1,dry_season,5.957142857142857,26.985714285714288,83.72857142857143,74.4,6.5,1.7,27.3,10.7,18.65,639.8,1,0,1,1,0,0,0,0,1,1,0,0
2014-02-05,34.0,22.5,28.0,75.9,0.2,10.8,1008.9,69.0,22.5,2014,2,5,36,6,2,dry_season,5.371428571428571,27.22857142857143,82.41428571428571,73.4,4.8,4.3,27.8,11.5,18.25,658.05,0,0,1,1,0,0,0,0,1,1,0,0
2014-02-06,36.1,23.6,28.4,75.7,0.0,16.6,1008.9,58.2,22.8,2014,2,6,37,6,3,dry_season,5.1428571428571415,27.385714285714283,81.3,73.4,0.2,1.6,28.0,12.5,19.85,677.9,0,0,1,1,0,0,0,0,0,1,0,0
2014-02-07,35.0,23.0,28.2,79.9,2.5,16.6,1010.3,63.6,23.9,2014,2,7,38,6,4,dry_season,4.885714285714285,27.585714285714285,80.41428571428571,75.8,0.0,4.3,28.4,12.0,19.0,696.9,1,0,1,1,0,0,0,0,1,1,0,0
2014-02-08,34.0,23.6,27.8,80.4,0.9,9.7,1010.3,69.6,23.7,2014,2,8,39,6,5,dry_season,2.457142857142857,27.699999999999996,79.4,76.19999999999999,2.5,17.9,28.2,10.399999999999999,18.8,715.6999999999999,0,0,1,1,0,0,0,0,1,1,0,0
2014-02-09,36.0,23.0,28.4,79.3,1.8,14.8,1009.7,68.3,24.0,2014,2,9,40,6,6,dry_season,2.3857142857142857,27.985714285714288,78.44285714285715,77.9,0.9,2.3,27.8,13.0,19.5,735.1999999999999,1,0,1,1,0,0,0,0,1,1,0,0
2014-02-10,34.5,23.3,28.0,78.1,0.9,13.0,1010.1,71.9,23.4,2014,2,10,41,7,0,dry_season,1.5857142857142856,28.085714285714285,78.4,78.8,1.8,6.5,28.4,11.2,18.9,754.0999999999999,0,0,1,1,0,1,1,0,1,1,0,0
2014-02-11,36.0,24.4,28.8,75.9,0.2,11.9,1010.0,82.0,23.4,2014,2,11,42,7,1,dry_season,0.9285714285714286,28.228571428571428,77.88571428571429,78.1,0.9,4.8,28.0,11.600000000000001,20.2,774.3,0,0,1,1,0,1,1,0,1,1,0,0
2014-02-12,37.0,24.0,28.9,74.3,1.5,22.3,1009.4,73.9,23.0,2014,2,12,43,7,2,dry_season,1.1142857142857143,28.357142857142858,77.65714285714286,79.6,0.2,0.2,28.8,13.0,20.5,794.8,1,0,1,1,0,1,1,0,1,1,0,0
2014-02-13,35.0,23.7,28.6,78.2,0.2,18.4,1008.7,69.6,23.8,2014,2,13,44,7,3,dry_season,1.1428571428571428,28.38571428571429,78.01428571428572,79.8,1.5,0.0,28.9,11.3,19.35,814.15,0,0,1,1,0,0,0,0,1,1,0,0
2014-02-14,34.1,23.0,28.0,77.9,0.4,11.2,1009.5,68.2,23.1,2014,2,14,45,7,4,dry_season,0.8428571428571429,28.357142857142858,77.72857142857143,79.5,0.2,2.5,28.6,11.100000000000001,18.55,832.6999999999999,0,0,1,1,0,0,0,0,1,1,0,0
2014-02-15,35.2,24.3,28.5,73.2,0.1,10.8,1009.9,82.7,22.1,2014,2,15,46,7,5,dry_season,0.7285714285714285,28.457142857142856,76.7,76.0,0.4,0.9,28.0,10.900000000000002,19.75,852.4499999999999,0,0,1,1,0,1,1,0,1,1,0,0
2014-02-16,34.6,24.0,28.1,71.7,0.0,9.4,1009.8,81.2,21.6,2014,2,16,47,7,6,dry_season,0.4714285714285715,28.414285714285715,75.61428571428571,74.10000000000001,0.1,1.8,28.5,10.600000000000001,19.3,871.7499999999999,0,0,1,1,0,1,1,0,0,1,0,0
2014-02-17,35.1,20.0,27.6,75.1,0.0,12.6,1009.0,62.6,21.9,2014,2,17,48,8,0,dry_season,0.3428571428571429,28.357142857142858,75.18571428571428,68.10000000000001,0.0,0.9,28.1,15.100000000000001,17.55,889.2999999999998,0,0,1,1,0,0,0,0,0,1,0,0
2014-02-18,34.8,25.0,28.7,75.6,0.1,11.9,1009.8,68.9,23.2,2014,2,18,49,8,1,dry_season,0.32857142857142857,28.342857142857145,75.14285714285714,67.89999999999999,0.0,0.2,27.6,9.799999999999997,19.9,909.1999999999998,0,0,1,1,0,0,0,0,1,1,0,0
2014-02-19,34.0,23.9,28.4,79.0,1.3,9.7,1010.7,61.4,24.1,2014,2,19,50,8,2,dry_season,0.3,28.27142857142857,75.81428571428572,68.3,0.1,1.5,28.7,10.100000000000001,18.95,928.1499999999999,1,0,1,1,0,0,0,0,1,1,0,0
2014-02-20,33.4,23.0,27.3,82.1,1.7,11.2,1010.0,40.9,23.7,2014,2,20,51,8,3,dry_season,0.5142857142857143,28.085714285714285,76.37142857142858,67.7,1.3,0.2,28.4,10.399999999999999,18.2,946.3499999999999,1,0,1,1,0,0,0,0,1,1,0,0
2014-02-21,33.8,24.0,27.9,82.1,1.0,13.0,1008.6,51.9,24.2,2014,2,21,52,8,4,dry_season,0.6,28.071428571428573,76.97142857142856,67.5,1.7,0.4,27.3,9.799999999999997,18.9,965.2499999999999,0,0,1,1,0,0,0,0,1,1,0,0
2014-02-22,34.0,24.0,28.3,82.8,1.7,10.1,1008.3,85.7,24.8,2014,2,22,53,8,5,dry_season,0.8285714285714285,28.042857142857144,78.34285714285714,65.39999999999999,1.0,0.1,27.9,10.0,19.0,984.2499999999999,1,0,1,1,0,1,1,0,1,1,0,0
2014-02-23,33.8,24.9,28.1,84.8,2.6,21.4,1008.3,89.4,25.1,2014,2,23,54,8,6,dry_season,1.1999999999999997,28.042857142857144,80.21428571428571,65.8,1.7,0.0,28.3,8.899999999999999,19.349999999999998,1003.5999999999999,1,0,1,1,0,1,1,0,1,1,0,0
2014-02-24,35.0,23.0,28.5,80.3,6.1,16.6,1008.0,71.7,24.4,2014,2,24,55,9,0,dry_season,2.0714285714285716,28.171428571428574,80.95714285714284,71.10000000000001,2.6,0.0,28.1,12.0,19.0,1022.5999999999999,1,0,1,1,0,1,1,0,1,1,0,0
2014-02-25,31.8,25.0,27.8,84.5,3.7,16.6,1008.2,85.6,24.8,2014,2,25,56,9,1,dry_season,2.585714285714286,28.04285714285714,82.22857142857143,73.69999999999999,6.1,0.1,28.5,6.800000000000001,18.4,1041.0,1,0,0,1,0,1,1,0,1,1,0,0
2014-02-26,33.3,24.6,28.1,80.7,2.1,22.3,1008.9,85.8,24.2,2014,2,26,57,9,2,dry_season,2.6999999999999997,28.0,82.47142857142856,72.4,3.7,1.3,27.8,8.699999999999996,18.95,1059.95,1,0,1,1,0,1,1,0,1,1,0,0
2014-02-27,33.0,23.9,27.1,84.8,1.9,24.1,1009.4,86.9,24.1,2014,2,27,58,9,3,dry_season,2.7285714285714286,27.97142857142857,82.85714285714286,72.6,2.1,1.7,28.1,9.100000000000001,18.45,1078.4,1,0,0,1,0,1,1,0,1,1,0,0
2014-02-28,31.0,24.0,26.5,86.9,9.6,11.9,1010.1,86.1,24.0,2014,2,28,59,9,4,dry_season,3.957142857142857,27.771428571428572,83.54285714285713,77.9,1.9,1.0,27.1,7.0,17.5,1095.9,1,0,0,1,1,1,1,0,1,1,0,0
2014-03-01,34.0,23.8,26.5,88.0,10.4,29.3,1009.8,89.1,24.1,2014,3,1,60,9,5,dry_season,5.2,27.514285714285716,84.28571428571429,86.69999999999999,9.6,1.7,26.5,10.2,18.9,1114.8000000000002,1,1,1,1,1,1,1,1,1,1,0,0
2014-03-02,29.2,23.5,25.8,87.7,4.1,13.0,1009.9,79.8,23.6,2014,3,2,61,9,6,dry_season,5.414285714285714,27.185714285714287,84.70000000000002,86.5,10.4,2.6,26.5,5.699999999999999,16.35,1131.15,1,0,0,1,1,1,1,1,1,1,0,0
2014-03-03,31.8,24.0,27.0,85.2,1.0,25.9,1009.7,69.8,24.2,2014,3,3,62,10,0,dry_season,4.685714285714285,26.97142857142857,85.39999999999999,69.6,4.1,6.1,25.8,7.800000000000001,17.9,1149.0500000000002,0,0,0,1,1,0,0,0,1,1,0,0
2014-03-04,35.1,22.9,27.1,84.1,25.3,13.0,1009.4,70.5,23.5,2014,3,4,63,10,1,dry_season,7.771428571428571,26.871428571428574,85.34285714285714,92.6,1.0,3.7,27.0,12.200000000000003,19.0,1168.0500000000002,1,1,1,1,0,1,1,0,1,1,0,0
2014-03-05,34.1,22.9,26.8,86.2,6.1,27.7,1009.4,75.3,24.1,2014,3,5,64,10,2,dry_season,8.342857142857143,26.685714285714283,86.12857142857145,92.19999999999999,25.3,2.1,27.1,11.200000000000003,18.5,1186.5500000000002,1,0,1,1,1,1,1,1,1,1,0,0
2014-03-06,32.0,24.0,26.8,87.3,10.8,28.2,1009.6,80.0,24.4,2014,3,6,65,10,3,dry_season,9.614285714285714,26.642857142857142,86.48571428571428,98.2,6.1,1.9,26.8,8.0,18.0,1204.5500000000002,1,1,0,1,1,1,1,1,1,1,0,0
2014-03-07,33.0,22.0,26.6,86.8,7.9,16.6,1008.8,65.2,24.0,2014,3,7,66,10,4,dry_season,9.371428571428572,26.657142857142855,86.47142857142856,105.89999999999999,10.8,9.6,26.8,11.0,17.5,1222.0500000000002,1,0,0,1,1,0,0,0,1,1,0,0
2014-03-08,31.9,24.0,26.8,86.4,6.1,11.5,1009.5,87.5,24.2,2014,3,8,67,10,5,dry_season,8.757142857142856,26.7,86.24285714285715,112.0,7.9,10.4,26.6,7.899999999999999,17.95,1240.0000000000002,1,0,0,1,1,1,1,1,1,1,0,0
2014-03-09,32.8,24.4,27.2,85.8,15.1,23.8,1009.5,86.4,24.5,2014,3,9,68,10,6,dry_season,10.328571428571431,26.900000000000002,85.97142857142856,124.6,6.1,4.1,26.8,8.399999999999999,18.599999999999998,1258.6000000000001,1,1,0,1,1,1,1,1,1,1,0,0
2014-03-10,30.6,22.0,25.5,89.0,15.8,16.6,1010.7,87.9,23.4,2014,3,10,69,11,0,dry_season,12.442857142857145,26.685714285714287,86.51428571428572,139.5,15.1,1.0,27.2,8.600000000000001,16.3,1274.9,1,1,0,1,1,1,1,1,1,1,0,0
2014-03-11,32.0,23.0,26.8,84.9,8.1,18.4,1011.4,68.9,23.8,2014,3,11,70,11,1,dry_season,9.985714285714286,26.642857142857142,86.62857142857142,145.79999999999998,15.8,25.3,25.5,9.0,17.5,1292.4,1,0,0,1,0,0,0,0,1,1,0,0
2014-03-12,34.0,22.8,27.9,80.8,0.7,14.8,1011.3,58.7,23.9,2014,3,12,71,11,2,dry_season,9.214285714285714,26.800000000000004,85.85714285714286,145.6,8.1,6.1,26.8,11.2,18.4,1310.8000000000002,0,0,1,1,0,0,0,0,1,1,0,0
2014-03-13,34.8,23.0,28.2,80.2,0.7,18.4,1010.4,54.9,24.0,2014,3,13,72,11,3,dry_season,7.771428571428571,27.0,84.84285714285714,146.1,0.7,10.8,27.9,11.799999999999997,18.9,1329.7000000000003,0,0,1,1,0,0,0,0,1,1,0,0
2014-03-14,35.0,24.0,28.6,82.3,2.8,22.1,1010.0,59.9,24.9,2014,3,14,73,11,4,dry_season,7.042857142857144,27.285714285714285,84.20000000000002,147.4,0.7,7.9,28.2,11.0,19.5,1349.2000000000003,1,0,1,1,0,0,0,0,1,1,0,0
2014-03-15,34.0,25.0,27.8,84.5,3.8,22.3,1009.3,73.6,24.8,2014,3,15,74,11,5,dry_season,6.714285714285714,27.428571428571427,83.92857142857143,151.0,2.8,6.1,28.6,9.0,19.5,1368.7000000000003,1,0,1,1,0,1,1,0,1,1,0,0
2014-03-16,28.5,23.0,25.7,91.1,20.8,7.9,1008.7,92.0,24.1,2014,3,16,75,11,6,dry_season,7.528571428571429,27.214285714285715,84.68571428571428,171.4,3.8,15.1,27.8,5.5,15.75,1384.4500000000003,1,1,0,1,1,1,1,1,1,0,1,0
2014-03-17,32.0,23.0,27.5,84.5,4.1,14.8,1009.3,75.0,24.4,2014,3,17,76,12,0,dry_season,5.857142857142857,27.5,84.04285714285713,175.4,20.8,15.8,25.7,9.0,17.5,1401.9500000000003,1,0,0,1,0,1,1,0,1,1,0,0
2014-03-18,30.0,24.6,27.0,87.8,1.7,16.9,1010.1,89.1,24.7,2014,3,18,77,12,1,dry_season,4.942857142857143,27.52857142857143,84.45714285714287,177.1,4.1,8.1,27.5,5.399999999999999,17.3,1419.2500000000002,1,0,0,1,1,1,1,0,1,1,0,0
2014-03-19,34.0,23.0,28.0,82.2,0.8,18.8,1010.1,84.1,24.3,2014,3,19,78,12,2,dry_season,4.957142857142856,27.54285714285714,84.65714285714286,177.9,1.7,0.7,27.0,11.0,18.5,1437.7500000000002,0,0,1,1,0,1,1,0,1,1,0,0
2014-03-20,35.0,23.0,28.0,82.9,2.1,13.0,1010.1,82.8,24.5,2014,3,20,79,12,3,dry_season,5.1571428571428575,27.514285714285712,85.04285714285713,179.89999999999998,0.8,0.7,28.0,12.0,19.0,1456.7500000000002,1,0,1,1,0,1,1,0,1,1,0,0
2014-03-21,33.3,24.5,28.4,82.3,8.9,18.4,1009.5,78.5,24.8,2014,3,21,80,12,4,dry_season,6.028571428571428,27.485714285714288,85.04285714285713,187.5,2.1,2.8,28.0,8.799999999999997,18.9,1475.6500000000003,1,0,1,1,0,1,1,0,1,1,0,0
2014-03-22,31.1,23.4,26.4,87.8,5.5,11.2,1009.0,96.2,24.1,2014,3,22,81,12,5,dry_season,6.271428571428571,27.285714285714285,85.51428571428572,191.29999999999998,8.9,3.8,28.4,7.700000000000003,17.25,1492.9000000000003,1,0,0,1,1,1,1,1,1,0,1,0
2014-03-23,32.1,24.4,27.4,85.8,8.9,18.4,1009.1,86.0,24.6,2014,3,23,82,12,6,dry_season,4.571428571428571,27.52857142857143,84.75714285714285,199.2,5.5,20.8,26.4,7.700000000000003,18.25,1511.1500000000003,1,0,0,1,1,1,1,0,1,1,0,0
2014-03-24,33.0,23.7,27.4,83.5,2.9,18.4,1010.3,88.9,24.1,2014,3,24,83,13,0,dry_season,4.3999999999999995,27.514285714285712,84.61428571428571,200.4,8.9,4.1,27.4,9.3,18.35,1529.5000000000002,1,0,0,1,0,1,1,0,1,1,0,0
2014-03-25,30.0,20.9,26.0,87.6,2.0,11.2,1010.2,95.5,23.6,2014,3,25,84,13,1,dry_season,4.442857142857142,27.37142857142857,84.58571428571429,199.8,2.9,1.7,27.4,9.100000000000001,15.45,1544.9500000000003,1,0,0,1,1,1,1,0,1,0,1,0
2014-03-26,33.0,24.1,27.5,85.8,11.5,14.8,1010.1,84.2,24.7,2014,3,26,85,13,2,dry_season,5.971428571428571,27.3,85.1,205.20000000000002,2.0,0.8,26.0,8.899999999999999,18.55,1563.5000000000002,1,1,0,1,1,1,1,1,1,1,0,0
2014-03-27,30.0,23.1,25.7,92.4,8.4,11.5,1010.0,88.8,24.3,2014,3,27,86,13,3,dry_season,6.871428571428571,26.97142857142857,86.45714285714287,209.89999999999998,11.5,2.1,27.5,6.899999999999999,16.55,1580.0500000000002,1,0,0,1,1,1,1,1,1,1,0,0
2014-03-28,33.0,22.0,26.5,86.3,4.3,13.0,1010.2,92.8,23.7,2014,3,28,87,13,4,dry_season,6.214285714285714,26.7,87.02857142857144,212.1,8.4,8.9,25.7,11.0,17.5,1597.5500000000002,1,0,0,1,1,1,1,1,1,0,1,0
2014-03-29,28.4,23.5,25.5,92.9,13.7,9.0,1011.3,97.1,24.2,2014,3,29,88,13,5,dry_season,7.385714285714286,26.571428571428573,87.75714285714285,223.89999999999998,4.3,5.5,26.5,4.899999999999999,15.95,1613.5000000000002,1,1,0,1,1,1,1,1,1,0,1,0
2014-03-30,31.5,23.3,26.4,88.2,6.8,10.4,1010.7,78.7,24.1,2014,3,30,89,13,6,dry_season,7.085714285714286,26.428571428571427,88.10000000000001,221.1,13.7,8.9,25.5,8.2,17.4,1630.9000000000003,1,0,0,1,1,1,1,1,1,1,0,0
2014-03-31,30.9,23.4,26.6,86.4,1.1,8.3,1010.5,99.7,24.0,2014,3,31,90,14,0,dry_season,6.828571428571429,26.314285714285717,88.51428571428572,211.79999999999998,6.8,2.9,26.4,7.5,17.15,1648.0500000000004,1,0,0,1,1,1,1,1,1,0,1,0
2014-04-01,34.0,23.4,27.4,86.0,18.1,20.5,1010.3,92.4,24.6,2014,4,1,91,14,1,rainy_season,9.12857142857143,26.514285714285712,88.28571428571429,225.8,1.1,2.0,26.6,10.600000000000001,18.7,1666.7500000000005,1,1,1,1,1,1,1,1,1,0,1,0
2014-04-02,31.1,23.2,26.7,89.4,18.1,17.1,1010.2,93.2,24.7,2014,4,2,92,14,2,rainy_season,10.071428571428571,26.400000000000002,88.8,242.9,18.1,11.5,27.4,7.900000000000002,17.15,1683.9000000000005,1,1,0,1,1,1,1,1,1,0,1,0
2014-04-03,31.3,23.5,26.3,87.5,4.0,11.2,1010.4,86.9,23.9,2014,4,3,93,14,3,rainy_season,9.442857142857141,26.485714285714284,88.10000000000001,221.60000000000002,18.1,8.4,26.7,7.800000000000001,17.4,1701.3000000000006,1,0,0,1,1,1,1,1,1,1,0,0
2014-04-04,32.9,24.5,27.7,85.5,2.1,14.8,1010.8,41.3,24.9,2014,4,4,94,14,4,rainy_season,9.128571428571428,26.657142857142855,87.98571428571428,217.6,4.0,4.3,26.3,8.399999999999999,18.7,1720.0000000000007,1,0,0,1,1,0,0,0,1,1,0,0
2014-04-05,31.0,24.0,26.6,86.2,5.3,9.7,1011.1,80.9,24.0,2014,4,5,95,14,5,rainy_season,7.92857142857143,26.814285714285713,87.02857142857144,212.10000000000002,2.1,13.7,27.7,7.0,17.5,1737.5000000000007,1,0,0,1,1,1,1,1,1,1,0,0
2014-04-06,31.9,23.9,27.0,86.4,4.2,8.3,1011.0,72.8,24.4,2014,4,6,96,14,6,rainy_season,7.557142857142857,26.900000000000002,86.77142857142857,208.4,5.3,6.8,26.6,8.0,17.9,1755.4000000000008,1,0,0,1,1,1,1,1,1,1,0,0
2014-04-07,31.2,23.6,26.5,88.5,7.0,10.4,1011.2,84.9,24.3,2014,4,7,97,15,0,rainy_season,8.4,26.885714285714283,87.07142857142857,209.3,4.2,1.1,27.0,7.599999999999998,17.4,1772.8000000000009,1,0,0,1,1,1,1,1,1,1,0,0
2014-04-08,28.0,23.5,24.9,95.0,21.9,7.6,1011.8,91.5,24.1,2014,4,8,98,15,1,rainy_season,8.942857142857145,26.528571428571432,88.35714285714286,216.1,7.0,18.1,26.5,4.5,15.75,1788.5500000000009,1,1,0,1,1,1,1,1,1,0,1,0
2014-04-09,31.8,22.0,26.2,88.4,6.1,12.6,1011.3,83.1,24.0,2014,4,9,99,15,2,rainy_season,7.228571428571428,26.457142857142856,88.21428571428571,206.4,21.9,18.1,24.9,9.8,16.9,1805.450000000001,1,0,0,1,1,1,1,1,1,1,0,0
2014-04-10,32.0,20.9,25.9,88.7,20.6,18.4,1010.3,81.0,23.6,2014,4,10,100,15,3,rainy_season,9.599999999999998,26.400000000000002,88.38571428571429,218.9,6.1,4.0,26.2,11.100000000000001,16.45,1821.900000000001,1,1,0,1,1,1,1,1,1,1,0,0
