datetime,tempmax,tempmin,temp_avg,humidity,rainfall,wind_speed,pressure,cloudcover,dew,conditions
2014-04-12,34.0,23.7,27.5,83.6,3.3,20.5,1009.8,65.4,24.2,"Rain, Partially cloudy"
2014-04-13,31.5,22.0,25.7,91.2,21.5,22.7,1010.9,96.0,24.1,"Rain, Overcast"
2014-04-14,30.0,23.2,25.6,90.1,10.9,11.5,1011.3,86.3,23.8,"Rain, Partially cloudy"
2014-04-15,32.0,22.0,26.7,86.2,2.6,16.6,1011.0,79.5,24.0,"Rain, Partially cloudy"
2014-04-16,32.0,23.2,27.3,82.4,0.8,22.3,1009.8,60.8,23.8,"Rain, Partially cloudy"
2014-04-17,34.0,23.7,28.0,81.1,1.5,17.1,1009.0,55.2,24.2,"Rain, Partially cloudy"
2014-04-18,31.4,23.8,26.6,88.4,4.4,13.0,1009.4,87.3,24.3,"Rain, Partially cloudy"
2014-04-19,32.7,23.8,27.1,85.9,2.1,8.3,1010.4,93.9,24.3,"Rain, Overcast"
2014-04-20,30.0,23.0,25.3,91.9,21.9,9.4,1009.9,77.6,23.8,"Rain, Partially cloudy"
2014-04-21,33.0,22.9,26.6,87.1,15.5,25.9,1009.4,82.3,24.0,"Rain, Partially cloudy"
2014-04-22,31.0,24.0,26.6,88.4,17.8,20.5,1010.0,79.3,24.4,"Rain, Partially cloudy"
2014-04-23,31.0,23.4,26.4,92.2,17.3,18.4,1010.3,91.5,25.0,"Rain, Overcast"
2014-04-24,31.8,23.7,27.0,87.6,8.0,9.7,1009.5,84.3,24.6,"Rain, Partially cloudy"
2014-04-25,31.8,23.6,27.2,85.1,4.8,12.5,1009.8,82.8,24.3,"Rain, Partially cloudy"
2014-04-26,29.6,23.8,25.8,90.6,7.5,8.3,1010.5,95.7,24.1,"Rain, Overcast"
2014-04-27,33.0,23.6,28.3,81.1,0.9,28.2,1009.8,76.5,24.4,"Rain, Partially cloudy"
2014-04-28,28.7,22.0,25.7,93.0,18.9,6.1,1010.3,95.2,24.4,"Rain, Overcast"
2014-04-29,32.6,24.0,27.2,87.5,15.3,13.0,1009.8,89.2,24.7,"Rain, Partially cloudy"
2014-04-30,32.0,23.0,26.5,88.0,8.3,18.4,1009.8,87.3,24.2,"Rain, Partially cloudy"
2014-05-01,31.1,23.4,26.9,87.5,7.2,15.3,1009.9,96.5,24.5,"Rain, Overcast"
2014-05-02,32.0,23.0,27.1,86.9,6.8,16.6,1010.1,85.0,24.5,"Rain, Partially cloudy"
2014-05-03,30.9,23.0,26.9,87.4,4.6,9.4,1009.8,90.8,24.5,"Rain, Overcast"
2014-05-04,33.5,24.3,27.8,86.2,12.0,12.1,1008.5,94.5,25.1,"Rain, Overcast"
2014-05-05,29.3,23.8,25.8,93.0,27.7,13.0,1009.1,89.9,24.6,"Rain, Partially cloudy"
2014-05-06,32.0,24.0,25.9,91.5,10.8,22.3,1010.7,96.5,24.3,"Rain, Overcast"
2014-05-07,31.0,23.2,26.3,90.1,7.6,10.3,1011.1,96.5,24.5,"Rain, Overcast"
2014-05-08,27.7,24.0,25.7,94.0,15.9,11.2,1011.3,93.9,24.7,"Rain, Overcast"
2014-05-09,30.9,23.4,26.2,88.7,8.5,9.4,1011.0,93.8,24.1,"Rain, Overcast"
2014-05-10,29.4,24.0,26.7,87.7,0.3,18.4,1010.6,80.4,24.4,"Rain, Partially cloudy"
2014-05-11,33.0,24.1,27.9,83.8,1.7,24.6,1009.9,83.0,24.7,"Rain, Partially cloudy"
2014-05-12,33.0,24.0,27.3,87.2,9.8,9.4,1009.9,82.6,24.8,"Rain, Partially cloudy"
2014-05-13,30.0,22.8,25.7,91.3,22.0,18.4,1011.4,91.0,24.1,"Rain, Overcast"
2014-05-14,26.1,23.2,24.7,96.0,13.9,7.2,1012.3,97.0,24.0,"Rain, Overcast"
2014-05-15,32.0,22.0,25.9,87.5,0.6,15.7,1010.6,73.4,23.5,"Rain, Partially cloudy"
2014-05-16,31.0,24.0,26.2,90.5,4.9,14.8,1010.1,78.4,24.5,"Rain, Partially cloudy"
2014-05-17,33.4,22.0,27.2,83.7,0.0,11.2,1009.6,43.1,23.8,Partially cloudy
2014-05-18,32.1,24.0,27.6,82.9,1.6,11.2,1010.3,46.3,24.2,"Rain, Partially cloudy"
2014-05-19,30.3,24.1,26.7,88.6,8.0,7.6,1011.0,67.3,24.6,"Rain, Partially cloudy"
2014-05-20,30.3,23.3,26.6,87.0,4.8,18.4,1010.6,67.9,24.1,"Rain, Partially cloudy"
2014-05-21,33.0,23.7,26.9,87.4,7.8,18.4,1010.7,93.2,24.5,"Rain, Overcast"
2014-05-22,30.0,23.5,26.2,89.5,7.6,13.0,1011.2,85.2,24.2,"Rain, Partially cloudy"
2014-05-23,33.0,23.6,27.1,88.4,9.1,20.5,1011.0,81.4,24.9,"Rain, Partially cloudy"
2014-05-24,31.7,23.0,26.7,88.4,5.7,9.4,1011.2,94.5,24.5,"Rain, Overcast"
2014-05-25,31.8,22.0,26.5,85.2,0.6,8.3,1010.5,61.8,23.6,"Rain, Partially cloudy"
2014-05-26,31.0,24.5,27.5,86.2,6.4,9.4,1010.9,74.5,24.8,"Rain, Partially cloudy"
2014-05-27,30.0,23.2,26.4,87.7,15.8,18.4,1011.0,82.8,24.1,"Rain, Partially cloudy"
2014-05-28,32.0,24.0,26.5,87.7,23.1,23.2,1010.9,82.9,24.1,"Rain, Partially cloudy"
2014-05-29,28.8,23.8,25.7,92.6,13.8,11.6,1012.2,99.0,24.4,"Rain, Overcast"
2014-05-30,32.0,23.0,26.5,87.6,10.1,13.0,1011.5,80.1,24.1,"Rain, Partially cloudy"
2014-05-31,32.1,23.9,26.9,87.9,8.2,9.0,1010.8,77.6,24.7,"Rain, Partially cloudy"
2014-06-01,27.1,23.0,24.7,92.8,15.0,11.6,1010.3,96.1,23.4,"Rain, Overcast"
2014-06-02,32.0,23.0,26.3,89.7,7.7,7.6,1010.4,94.9,24.4,"Rain, Overcast"
2014-06-03,30.8,24.3,26.8,89.7,11.7,9.4,1009.9,95.6,24.9,"Rain, Overcast"
2014-06-04,28.9,24.0,25.6,92.3,14.2,30.0,1009.8,89.6,24.3,"Rain, Partially cloudy"
2014-06-05,30.3,22.6,26.1,89.7,12.2,12.1,1010.0,91.3,24.1,"Rain, Overcast"
2014-06-06,30.0,23.1,26.1,91.4,9.0,7.6,1010.9,87.6,24.5,"Rain, Partially cloudy"
2014-06-07,31.0,22.8,25.8,89.8,11.8,24.1,1011.0,90.0,23.9,"Rain, Partially cloudy"
2014-06-08,30.3,23.0,25.1,91.5,16.3,16.9,1011.7,84.2,23.6,"Rain, Partially cloudy"
2014-06-09,31.1,23.0,26.2,87.4,4.8,9.4,1011.2,78.5,23.8,"Rain, Partially cloudy"
2014-06-10,28.5,22.9,25.3,94.3,15.5,9.4,1012.0,86.4,24.3,"Rain, Partially cloudy"
2014-06-11,30.2,22.7,25.9,89.9,6.5,33.1,1012.6,89.1,24.0,"Rain, Partially cloudy"
2014-06-12,32.0,23.0,26.2,88.8,8.8,22.3,1012.6,94.8,24.1,"Rain, Overcast"
2014-06-13,30.5,24.0,26.4,89.7,6.6,18.4,1012.5,89.0,24.5,"Rain, Partially cloudy"
2014-06-14,28.0,22.0,25.1,91.0,16.6,16.6,1013.4,91.2,23.5,"Rain, Overcast"
2014-06-15,31.8,22.9,26.5,87.7,6.3,9.4,1013.3,82.7,24.2,"Rain, Partially cloudy"
2014-06-16,32.0,23.8,26.5,87.6,8.9,27.7,1013.1,82.2,24.2,"Rain, Partially cloudy"
2014-06-17,31.0,23.9,26.5,88.3,19.1,27.7,1013.2,88.9,24.3,"Rain, Partially cloudy"
2014-06-18,26.9,23.6,24.7,95.9,7.6,11.2,1014.8,94.9,24.0,"Rain, Overcast"
2014-06-19,32.0,22.0,26.1,88.9,5.8,11.2,1014.3,63.6,23.9,"Rain, Partially cloudy"
2014-06-20,30.8,23.5,26.9,87.3,4.2,9.7,1013.3,75.9,24.5,"Rain, Partially cloudy"
2014-06-21,28.0,23.5,25.4,92.4,10.0,19.6,1013.4,79.4,24.1,"Rain, Partially cloudy"
2014-06-22,31.0,22.1,26.0,86.3,10.8,33.5,1013.5,90.2,23.3,"Rain, Overcast"
2014-06-23,32.0,23.0,25.5,91.2,13.4,22.3,1014.8,88.1,23.8,"Rain, Partially cloudy"
2014-06-24,28.7,22.7,25.0,93.9,9.6,7.6,1014.4,93.9,23.9,"Rain, Overcast"
2014-06-25,30.8,23.3,25.7,91.0,15.2,18.4,1013.7,84.8,24.0,"Rain, Partially cloudy"
2014-06-26,31.0,22.7,26.5,85.0,5.7,18.4,1013.3,80.5,23.6,"Rain, Partially cloudy"
2014-06-27,30.0,23.7,25.5,91.8,13.2,16.6,1013.6,84.7,24.0,"Rain, Partially cloudy"
2014-06-28,29.3,22.6,25.2,89.9,10.6,18.4,1013.9,92.9,23.3,"Rain, Overcast"
2014-06-29,30.0,23.4,26.1,89.2,13.4,14.8,1013.1,91.5,24.1,"Rain, Overcast"
2014-06-30,29.8,23.4,25.4,91.9,6.3,8.3,1012.6,87.5,24.0,"Rain, Partially cloudy"
2014-07-01,29.0,23.6,25.4,91.1,5.6,18.4,1012.9,94.9,23.8,"Rain, Overcast"
2014-07-02,29.0,23.4,25.9,90.3,9.9,16.6,1013.9,93.0,24.1,"Rain, Overcast"
2014-07-03,28.8,23.3,25.1,94.1,13.1,16.2,1014.6,97.1,24.0,"Rain, Overcast"
2014-07-04,30.0,22.9,25.2,92.8,14.7,20.5,1014.3,92.6,23.9,"Rain, Overcast"
2014-07-05,28.0,22.9,24.5,92.6,7.6,9.0,1014.7,94.2,23.2,"Rain, Overcast"
2014-07-06,28.5,22.0,24.3,89.1,8.9,8.6,1014.8,93.9,22.4,"Rain, Overcast"
2014-07-07,29.0,23.4,25.3,86.9,2.5,11.2,1015.8,90.2,22.9,"Rain, Overcast"
2014-07-08,26.4,22.8,24.7,88.0,1.9,13.0,1016.5,93.2,22.5,"Rain, Overcast"
2014-07-09,30.0,22.8,25.7,85.8,7.6,9.4,1015.3,73.9,23.0,"Rain, Partially cloudy"
2014-07-10,31.0,23.3,26.2,83.8,1.3,16.6,1015.3,66.1,23.1,"Rain, Partially cloudy"
2014-07-11,31.0,23.5,26.3,84.7,1.8,24.1,1015.3,78.9,23.4,"Rain, Partially cloudy"
2014-07-12,28.3,23.0,25.3,90.2,7.2,18.4,1014.7,64.2,23.5,"Rain, Partially cloudy"
2014-07-13,28.7,23.7,25.3,91.2,13.0,14.8,1014.6,91.4,23.7,"Rain, Overcast"
2014-07-14,29.0,22.7,25.5,90.2,2.8,9.0,1013.6,73.0,23.7,"Rain, Partially cloudy"
2014-07-15,28.6,23.0,25.1,91.2,19.4,18.4,1013.6,82.2,23.5,"Rain, Partially cloudy"
2014-07-16,28.0,23.2,25.0,94.4,8.8,23.7,1014.3,91.3,24.0,"Rain, Overcast"
2014-07-17,28.1,22.7,25.0,88.8,6.9,27.7,1015.4,86.0,23.0,"Rain, Partially cloudy"
2014-07-18,28.2,22.7,24.8,91.0,10.1,22.4,1015.9,84.4,23.1,"Rain, Partially cloudy"
2014-07-19,28.3,23.4,25.6,86.4,3.5,13.5,1015.4,79.1,23.1,"Rain, Partially cloudy"
2014-07-20,29.0,23.5,25.5,86.3,7.6,13.0,1015.3,91.7,22.9,"Rain, Overcast"
2014-07-21,29.0,23.9,25.8,84.6,1.2,16.2,1015.3,89.3,22.9,"Rain, Partially cloudy"
2014-07-22,28.0,23.0,25.1,86.1,2.2,20.5,1015.2,85.7,22.6,"Rain, Partially cloudy"
2014-07-23,29.0,22.0,25.2,85.4,1.5,27.7,1015.4,79.2,22.5,"Rain, Partially cloudy"
2014-07-24,29.0,23.0,25.5,84.8,3.9,14.8,1015.4,85.6,22.7,"Rain, Partially cloudy"
2014-07-25,26.8,23.0,24.7,88.2,4.7,18.4,1015.2,92.7,22.6,"Rain, Overcast"
2014-07-26,29.0,22.9,25.1,90.2,6.1,13.0,1014.0,90.7,23.3,"Rain, Overcast"
2014-07-27,28.2,23.2,25.0,90.1,4.4,20.9,1013.3,87.5,23.3,"Rain, Partially cloudy"
2014-07-28,28.8,23.4,25.5,88.1,1.3,14.8,1013.5,83.3,23.3,"Rain, Partially cloudy"
2014-07-29,29.0,23.8,26.1,85.8,2.0,9.4,1013.2,87.8,23.5,"Rain, Partially cloudy"
2014-07-30,27.4,23.8,25.0,91.6,9.6,18.4,1013.8,90.4,23.5,"Rain, Overcast"
2014-07-31,27.0,23.0,24.5,95.1,5.2,18.4,1014.7,94.8,23.7,"Rain, Overcast"
2014-08-01,26.7,23.0,24.2,92.1,3.7,14.8,1015.1,94.1,22.8,"Rain, Overcast"
2014-08-02,27.8,22.8,24.5,90.3,4.8,22.3,1014.5,97.9,22.7,"Rain, Overcast"
2014-08-03,27.0,23.3,24.8,91.0,2.6,20.5,1015.1,90.3,23.2,"Rain, Overcast"
2014-08-04,30.0,23.3,24.9,92.3,12.3,18.4,1014.8,93.0,23.5,"Rain, Overcast"
2014-08-05,26.0,22.0,23.5,96.7,57.4,25.9,1014.2,93.4,22.9,"Rain, Overcast"
2014-08-06,30.0,22.0,25.1,87.5,4.6,17.9,1014.3,82.1,22.7,"Rain, Partially cloudy"
2014-08-07,28.3,23.0,25.5,86.2,1.9,27.7,1014.1,80.9,23.0,"Rain, Partially cloudy"
2014-08-08,30.0,23.0,25.4,86.9,3.2,14.8,1014.1,86.6,23.0,"Rain, Partially cloudy"
2014-08-09,30.0,22.9,25.7,85.2,2.7,16.6,1014.2,78.4,22.8,"Rain, Partially cloudy"
2014-08-10,29.2,22.6,25.3,87.4,2.3,18.4,1014.3,59.3,23.0,"Rain, Partially cloudy"
2014-08-11,29.9,23.0,25.5,84.8,5.3,14.8,1013.9,75.6,22.7,"Rain, Partially cloudy"
2014-08-12,29.1,23.0,25.4,85.2,2.6,18.4,1012.9,86.5,22.6,"Rain, Partially cloudy"
2014-08-13,29.4,22.3,25.6,80.6,1.0,18.4,1013.8,79.0,21.9,"Rain, Partially cloudy"
2014-08-14,31.0,23.5,26.4,79.7,1.0,22.3,1014.0,76.4,22.4,"Rain, Partially cloudy"
2014-08-15,29.0,22.0,25.2,86.2,9.8,18.4,1014.2,87.8,22.6,"Rain, Partially cloudy"
2014-08-16,28.3,23.3,25.4,82.8,1.1,13.0,1013.8,76.6,22.2,"Rain, Partially cloudy"
2014-08-17,29.3,22.9,25.7,82.8,0.0,8.3,1013.7,97.2,22.4,Overcast
2014-08-18,28.0,22.3,24.8,89.5,22.2,24.1,1013.5,93.9,22.9,"Rain, Overcast"
2014-08-19,29.0,22.4,24.7,91.5,9.6,33.5,1013.5,90.8,23.2,"Rain, Overcast"
2014-08-20,27.0,22.8,24.2,93.2,7.8,13.0,1014.0,87.0,23.1,"Rain, Partially cloudy"
2014-08-21,28.0,22.0,23.7,94.6,20.3,13.0,1014.4,91.2,22.7,"Rain, Overcast"
2014-08-22,26.5,20.9,23.2,97.1,17.0,8.6,1014.3,97.8,22.7,"Rain, Overcast"
2014-08-23,30.0,22.3,24.8,89.6,4.6,7.2,1013.8,76.4,22.9,"Rain, Partially cloudy"
2014-08-24,29.5,22.4,25.6,87.5,6.5,13.0,1013.0,77.8,23.3,"Rain, Partially cloudy"
2014-08-25,30.0,22.8,24.9,91.1,21.8,25.9,1012.8,92.5,23.3,"Rain, Overcast"
2014-08-26,28.0,21.7,24.2,90.6,21.2,12.2,1013.1,87.5,22.5,"Rain, Partially cloudy"
2014-08-27,29.5,20.9,25.4,83.4,1.0,9.4,1013.8,84.8,22.2,"Rain, Partially cloudy"
2014-08-28,28.5,24.0,25.3,89.2,8.9,10.4,1012.5,94.1,23.3,"Rain, Overcast"
2014-08-29,28.5,23.0,24.5,94.0,16.9,15.2,1012.1,94.7,23.4,"Rain, Overcast"
2014-08-30,28.1,22.8,24.7,90.5,3.7,14.8,1013.0,94.1,23.0,"Rain, Overcast"
2014-08-31,28.6,23.0,24.8,91.9,7.0,22.3,1012.8,95.3,23.3,"Rain, Overcast"
2014-09-01,29.0,22.7,24.7,90.1,3.3,10.8,1013.5,96.6,22.9,"Rain, Overcast"
